timestamp,open,high,low,close,volume,best_bid,best_ask
2026-03-06T17:00:32+00:00,0.53,0.53,0.53,0.53,0.0,,
2026-03-06T18:00:36+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-06T19:00:32+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-06T20:00:29+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-06T21:00:34+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-06T22:00:29+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-06T23:00:30+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-07T00:00:48+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-07T01:00:30+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-07T02:00:28+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-07T03:00:37+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-07T04:00:28+00:00,0.53,0.53,0.53,0.53,0.0,,
2026-03-07T05:00:32+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-07T06:00:43+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-07T07:00:28+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-03-07T08:00:48+00:00,0.53,0.53,0.53,0.53,0.0,,
2026-03-07T09:00:39+00:00,0.555,0.555,0.555,0.555,0.0,,
2026-03-07T10:00:29+00:00,0.555,0.555,0.555,0.555,0.0,,
2026-03-07T11:00:37+00:00,0.555,0.555,0.555,0.555,0.0,,
2026-03-07T12:00:49+00:00,0.555,0.555,0.555,0.555,0.0,,
2026-03-07T13:00:31+00:00,0.545,0.545,0.545,0.545,0.0,,
2026-03-07T14:00:31+00:00,0.545,0.545,0.545,0.545,0.0,,
2026-03-07T15:00:39+00:00,0.545,0.545,0.545,0.545,0.0,,
2026-03-07T16:00:36+00:00,0.545,0.545,0.545,0.545,0.0,,
2026-03-07T17:00:47+00:00,0.545,0.545,0.545,0.545,0.0,,
2026-03-07T18:00:41+00:00,0.545,0.545,0.545,0.545,0.0,,
2026-03-07T19:00:30+00:00,0.545,0.545,0.545,0.545,0.0,,
2026-03-07T20:00:31+00:00,0.55,0.55,0.55,0.55,0.0,,
2026-03-07T21:00:39+00:00,0.56,0.56,0.56,0.56,0.0,,
2026-03-07T22:00:30+00:00,0.56,0.56,0.56,0.56,0.0,,
2026-03-07T23:00:28+00:00,0.56,0.56,0.56,0.56,0.0,,
2026-03-08T00:00:39+00:00,0.56,0.56,0.56,0.56,0.0,,
2026-03-08T01:00:27+00:00,0.565,0.565,0.565,0.565,0.0,,
2026-03-08T02:00:28+00:00,0.565,0.565,0.565,0.565,0.0,,
2026-03-08T03:00:48+00:00,0.565,0.565,0.565,0.565,0.0,,
2026-03-08T04:00:29+00:00,0.565,0.565,0.565,0.565,0.0,,
2026-03-08T05:00:26+00:00,0.565,0.565,0.565,0.565,0.0,,
2026-03-08T06:00:37+00:00,0.55,0.55,0.55,0.55,0.0,,
2026-03-08T07:00:35+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-03-08T08:00:27+00:00,0.525,0.525,0.525,0.525,0.0,,
